column,nunique,missing_rate,top20_values
major1_1,11,0.026737967914438502,IT(컴퓨터 공학 포함):253; 경영학:178; 자연과학:97; 사회과학:57; 인문학:48; 경제통상학:36; 의약학:29; nan:20; 예체능:15; 교육학:10; 법학:3; 기타:2
previous_class_6,10,0.8048128342245989,"nan:602; 해당없음:125; 0001 : 파이썬 문법 기초반:5; 0006 : 데이터 분석 전처리반(판다스):5; 0004 : 데이터 분석 입문반 (머신러닝):4; 0008 : 데이터 분석 모델링반 (ML1):2; 0005 : 데이터 분석 입문반 (통계):1; 0009 : 데이터 분석 개념반:1; 0001 : 파이썬 문법 기초반, 0003 : R문법 기초반:1; 0001 : 파이썬 문법 기초반, 0004 : 데이터 분석 입문반 (머신러닝):1; 0007 : 데이터 분석 전처리 적용반:1"
major1_2,10,0.5868983957219251,nan:439; IT(컴퓨터 공학 포함):139; 경영학:66; 자연과학:53; 사회과학:19; 경제통상학:18; 기타:4; 예체능:4; 의약학:3; 인문학:2; 교육학:1
incumbents_lecture,10,0.0,"커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정):384; 직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁):285; 산업 트렌드 (예시: ChatGPT로 인한 직무 변화):72; 커리어 패스 과정과 직무 강의 둘다 궁금합니다 :1; 원동력:1; 위 항목 전부 다:1; 위에 3가지 모두 듣고 싶습니다:1; 위 3개 전부 다:1; 취업하기 위해 준비했던 각종 데이터 관련 경험들:1; 커리어패스, 산업 트렌드:1"
what_to_gain,9,0.0,"데이터 분석 역량:492; 프로젝트 경험:149; 공모전 경험:73; 인적 네트워크:29; 기초적인 python, sql 지식 숙지:1; 위 항목 전체:1; 공모전과 프로젝트:1; 사실 한가지를 고르기 어렵습니다..ㅠㅠ 학회를 통해 위의 4가지와 협업에 계신 전문가님들에게 유익한 정보를 얻고 소중한 경험을 하고 싶습니다.:1; 분석 역량, 공모전 경험, 인적 네트워크:1"
inflow_route,8,0.0,"에브리타임:340; 기존 학회원 또는 운영진:150; 인스타그램:121; 지인 추천:78; 대외활동 사이트(링커리어, 캠퍼스픽, 캠퍼즈, 위비티 등):55; 기타:2; 교내 플랫폼 (에브리타임 X):1; 인터넷 검색:1"
whyBDA,7,0.0,"혼자 공부하기 어려워서:271; 큰 규모인 만큼, 커리큘럼이나 운영 등 관리가 잘 될것 같아서:159; 이전 기수에 매우 만족해서:146; BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등):64; 현직자의 강의를 듣고 싶어서:56; 시간적으로 부담이 없어서:29; 학회 가입 시 코딩 테스트, 면접 등을 보지 않아서:23"
contest_participation,6,0.9919786096256684,nan:742; 전처리 과정 ::1; 대상을 50세 이상의 시니어로 선정.:1; 그 후 네이버 리뷰에서 관광지 리뷰를 전처리 하여(KoNLPy를 사용) 리뷰 데이터로 명소의 특징이 남아있는 명사 데이터를 제하고 모두 제거. 남아있는 변수들중 빈도가 높은 걸로 각각 7개씩 추출후 군집분석 결과와 매칭하여 여행 코스를 짬.:1; 데이터 ::1; 국민여행조사' <- 관광지식정보시스템(문화체육관광부)에서 2022 ~ 2023년 국민여행조사 데이터를 수집.:1; 1:1
incumbents_lecture_scale,6,0.0,3~50명 내외의 강의 리스너와 1명의 현직자:441; 100명 이상의 리스너와 10명 이상의 현직자:199; 10명 내외의 강의 리스너와 1명의 현직자:105; 100명 이상의 리스너와 1-2명의 현직자:1; 100명 이상의 리스너와 3명의 현직자:1; ...:1
previous_class_5,5,0.8048128342245989,nan:602; 해당없음:136; 0001 : 파이썬 문법 기초반:6; 0006 : 데이터 분석 전처리반(판다스):2; 0004 : 데이터 분석 입문반 (머신러닝):1; 0005 : 데이터 분석 입문반 (통계):1
previous_class_4,4,0.8048128342245989,nan:602; 해당없음:143; 0005 : 데이터 분석 입문반 (통계):1; 0009 : 데이터 분석 개념반:1; 0001 : 파이썬 문법 기초반:1
job,4,0.0,대학생:662; 취준생:48; 직장인:29; 대학원생:9
desired_career_path,4,0.0,취업:573; 대학원 진학:143; 이직:24; 창업:8
previous_class_3,3,0.8048128342245989,nan:602; 해당없음:144; 0005 : 데이터 분석 입문반 (통계):1; 0006 : 데이터 분석 전처리반(판다스):1
major type,3,0.029411764705882353,"단일 전공:410; 복수 전공 ( 다중전공, 이중전공 포함 ):315; nan:22; 단일 전공공학 (컴퓨터 공학 제외):1"
hope_for_group,3,0.0,네. 오프라인으로 참여하고 싶어요:367; 네. 온라인으로 참여하고 싶어요:265; 아니요. 개인적으로 학회 활동을 하고 싶어요:116
incumbents_lecture_type,3,0.0,"온, 오프라인 동시:511; 온라인:131; 오프라인:106"
nationality,2,0.001336898395721925,내국인:745; 외국인:2; nan:1
re_registration,2,0.0,아니요:602; 예:146
project_type,2,0.0,팀:527; 개인:221
incumbents_level,2,0.0,주니어 (0~3년차):530; 시니어 (10년차 ~):218
